Startnumber;Last_name;First_name;Country;PPP_chapter;Gender;QTTR
1220;Liu;Xingchi;CHN;TTC Salm�nster 1950;F;2454
1221;Kwon;Hyuk;KOR;TTC SR Hohenstein-Ernstthal;M;2453
1222;Picard;Vincent;FRA;France;M;2453
1223;Chen;Chi-Yun;TPE;Taiwan;F;2453
1224;Kulczycki;Samuel;POL;TSV Sch�ppenstedt;M;2452
1225;Bardet;Lilian;FRA;France;M;2452
1226;Zhou;Jinquan;CHN;China;M;2452
1227;Walther;Ricardo;GER;ASC Gr�nwettersbach;M;2451
1228;Rolland;Jules;FRA;France;M;2451
1229;Huang;Yingqi;CHN;TTG Bingen/M�nster-Sarmsheim;F;2451
1230;Okano;Shunsuke;JPN;Japan;M;2451
1231;Aguirre;Marcelo;ITA;SV Werder Bremen;M;2450
1232;Kihara;Miyuu;JPN;Japan;F;2450
1233;Zhu;Ziyu;CHN;China;F;2450
1234;Yoshida;Rino;JPN;Japan;F;2450
1235;Ham;Yu Song;PRK;North Korea (DPR);M;2449
1236;Shibata;Saki;JPN;Japan;F;2448
1237;Akae;Kaho;JPN;Japan;F;2448
1238;Liu;Weishan;CHN;ttc berlin eastside;F;2448
1239;Matsuyama;Yuki;JPN;TTC Fortuna Passau;M;2447
1240;Yuan;Xuansong;CHN;Sportverein Union Velbert 2011 e.V.;M;2447
1241;Yazdanbakhsh;Erfan;IRI;Iran;M;2447
1242;Majoros;Bence;HUN;Hungary;M;2446
1243;Kim;Donghyun;KOR;South Korea (Republic);M;2446
1244;Zhu;Qihui;CHN;China;F;2446
1245;Meng;Fan Bo;GER;TTC Rh�nSprudel Fulda-Maberzell;M;2445
1246;Tikhonov;Evgeny;RUS;Russia;M;2445
1247;Han;Doyun;KOR;South Korea (Republic);M;2444
1248;Ito;Shiina;JPN;Japan;F;2444
1249;Baum;Patrick;GER;TTC Zugbr�cke Grenzau;M;2443
1250;Pistej;Lubomir;SVK;France;M;2443
1251;Kojic;Frane Tomislav;CRO;Croatia;M;2443
1252;Ishiy;Vitor;BRA;Brazil;M;2443
1253;Zong;Geman;CHN;China;F;2443
1254;Zhang;Xiangyu;CHN;China;F;2443
1255;Berglund;Simon;SWE;BV Borussia 09 Dortmund;M;2442
1256;Aoki;Sachi;JPN;Japan;F;2442
1257;Wang;Xiaotong;CHN;China;F;2442
1258;Kim;Minseo;KOR;South Korea (Republic);F;2442
1259;Ayoola;Usman;NGR;Nigeria;M;2442
1260;Schweiger;Tom Fabian;GER;TSV Windsbach;M;2441
1261;Su;Tsz Tung;HKG;Hongkong;F;2441
1262;Hu;Dongshen;CHN;China;M;2440
1263;Wang;Eugene;CAN;Canada;M;2439
1264;Sakuma;Yui;JPN;Japan;F;2439
1265;Pereira;Andy;CUB;Austria;M;2438
1266;Chen;Xianchang;CHN;China;F;2438
1267;Li;Tianyang;CHN;China;M;2438
1268;Zeljko;Filip;CRO;TSV Bad K�nigshofen;M;2437
1269;Li;Hsin-Yang;TPE;Oldenburger TB;M;2437
1270;Yokoi;Sakura;JPN;Japan;F;2437
1271;Hao-Jen;Yang;TPE;TTC Fortuna Passau;M;2437
1272;Kim;Kum Yong;PRK;North Korea (DPR);F;2437
1273;Matsushita;Aina;JPN;Japan;F;2437
1274;Hagihara;Keishi;JPN;Japan;M;2436
1275;Sipos;Rares;ROU;1. FSV Mainz 05 e. V.;M;2434
1276;Wu;Jia-En;TPE;Taiwan;F;2434
1277;Zhu;Sibing;CHN;China;F;2434
1278;Ding;Zige;CHN;China;F;2434
1279;Goda;Hana;EGY;Egypt;F;2433
1280;Henzell;William;AUS;ASC Gr�nwettersbach;M;2433
1281;Xu;Yi;CHN;China;F;2433
1282;Lakatos;Tamas;HUN;Hungary;M;2432
1283;Wu;Yiran;USA;USA;M;2431
1284;Katsman;Lev;RUS;Russia;M;2430
1285;Kumar;Nikhil;USA;USA;M;2430
1286;Hodaei;Amir Hossein;IRI;France;M;2430
1287;Lam;Siu Hang;HKG;TTC Rh�nSprudel Fulda-Maberzell;M;2429
1288;Hsu;Hsien-Chia;TPE;TTC Rh�nSprudel Fulda-Maberzell;M;2429
1289;Kang;Dongsoo;KOR;South Korea (Republic);M;2429
1290;Yu;Haiyang;CHN;China;M;2429
1291;Kobayashi;Hiromu;JPN;Japan;M;2429
1292;Liao;Xiaoqing;CHN;China;F;2429
